,XLE,XLU,XLK,XLB,XLP,XLY,XLI,XLC,XLV,XLF,SPY
0,64.39,54.55,66.45,53.12,53.18,107.41,71.81,46.04,90.31,25.98,269.55
1,64.765,54.72,66.96,53.55,53.37,107.78,72.28,46.3,90.67,26.15,270.99
2,64.8568,54.37,66.76,53.26,53.09,107.36,71.94,46.08,90.65,26.105,270.14
3,64.89,54.245,66.45,53.34,53.12,107.14,71.78,46.04,90.6,26.005,269.62
4,64.67,54.3,66.425,53.33,53.125,107.07,71.77,45.945,90.56,26.0,269.46
5,64.33,54.205,67.1,53.2,53.34,107.215,72.0,46.105,90.13,26.02,269.995
6,64.22,53.99,67.21,53.1,53.12,107.15,71.97,46.15,89.79,25.94,269.66
7,64.62,54.43,67.6,53.15,53.46,107.69,72.22,46.18,90.0001,26.103,270.88
8,64.64,54.35,67.55,53.23,53.52,107.73,72.24,46.27,90.13,26.06,270.92
9,64.86,54.37,67.69,53.34,53.48,107.7441,72.56,46.345,90.2331,26.14,271.425
10,64.89,54.4,67.655,53.32,53.46,107.68,72.59,46.35,90.2,26.13,271.37
11,65.05,54.66,67.75,53.42,53.55,107.92,72.84,46.39,90.48,26.16,272.0
12,65.05,54.5158,68.19,53.68,53.59,108.78,72.94,46.55,90.99,26.12,272.81
13,64.86,54.74,68.255,53.76,53.63,108.64,72.96,46.52,90.91,26.04,272.71
14,64.94,54.62,68.23,53.548,53.455,108.545,73.06,46.61,90.42,26.05,272.44
15,64.7,54.55,68.54,53.63,53.49,108.51,73.4029,46.22,90.36,26.09,272.79
16,64.76,54.79,68.5531,53.59,53.5031,108.21,73.565,46.1,90.6,26.01,272.72
17,64.77,54.635,68.5115,53.44,53.55,108.39,73.53,45.815,90.74,26.01,272.6
18,64.775,54.665,68.56,53.505,53.56,108.3799,73.55,45.855,90.72,26.055,272.72
19,64.65,54.71,68.55,53.48,53.59,108.45,73.47,45.86,90.76,26.06,272.75
20,64.0,54.72,67.885,53.0,53.28,107.64,73.12,45.45,90.05,25.9216,270.75
21,63.23,55.43,67.59,52.75,53.53,107.56,72.96,45.4,89.78,25.81,270.19
22,62.71,55.37,67.24,52.37,53.34,106.775,72.61,45.11,89.41,25.6,268.6399
23,62.76,55.79,68.075,52.79,53.86,107.31,73.49,45.73,89.78,25.72,270.78
24,62.86,55.62,68.11,52.62,53.72,107.33,73.32,45.61,89.69,25.715,270.58
25,62.94,55.55,68.1,52.64,53.7532,107.42,73.46,45.57,89.72,25.7,270.63
26,64.35,55.53,68.48,53.35,54.08,108.58,74.15,45.77,90.15,26.15,273.01
27,63.98,55.585,68.51,53.33,54.11,108.64,74.22,45.79,90.22,26.09,273.01
28,63.99,55.79,68.75,53.44,54.18,108.83,74.39,45.85,90.49,26.125,273.56
29,64.02,55.77,68.85,53.97,54.35,108.97,74.59,45.77,91.04,26.14,274.12
30,65.02,55.54,69.035,54.1,54.46,109.37,74.8,45.97,91.02,26.275,275.0017
31,64.48,55.41,69.1,54.1,54.405,109.6,74.98,45.94,91.12,26.2478,274.97
32,64.42,55.49,69.17,54.06,54.41,109.66,74.99,45.93,91.275,26.26,275.133
33,64.84,55.63,68.95,54.03,54.49,109.7,75.06,45.81,91.26,26.1901,274.98
34,64.94,55.69,69.08,53.93,53.86,108.85,74.705,45.63,91.07,25.825,273.79
35,65.14,55.53,69.04,53.84,53.91,109.37,74.6,46.03,91.43,25.91,274.34
36,65.3,55.6836,69.2236,53.85,54.01,109.79,74.86,46.16,91.69,26.0,275.19
37,65.27,55.64,69.21,53.9309,53.99,109.64,74.825,46.1699,91.73,25.975,275.085
38,65.26,55.68,69.23,53.93,54.03,109.62,74.86,46.15,91.69,26.0056,275.15
39,65.4,55.6,69.1301,53.845,53.985,109.4513,74.735,46.03,91.59,25.98,274.832
40,65.8,55.62,69.44,54.225,54.34,110.08,75.54,46.09,92.38,26.38,276.74
41,65.8,55.595,69.35,54.16,54.36,110.04,75.51,46.0282,92.38,26.385,276.6
42,65.61,55.57,69.27,54.09,54.33,109.89,75.385,45.99,92.36,26.33,276.28
43,65.71,55.51,69.37,54.15,54.27,109.94,75.38,46.0,92.51,26.36,276.49
44,65.85,55.52,69.41,54.17,54.28,109.96,75.38,46.005,92.56,26.37,276.61
45,66.12,55.71,69.6,54.48,54.36,110.05,75.69,46.17,92.86,26.42,277.39
46,66.05,55.7,69.51,54.51,54.54,110.36,75.5166,46.23,92.94,26.32,277.32
47,66.0,55.86,69.58,54.64,54.61,110.335,75.5,46.245,92.89,26.36,277.53
48,65.73,55.875,69.52,54.59,54.63,110.37,75.31,46.225,92.77,26.28,277.21
49,66.27,55.92,69.675,54.9,54.8,110.55,75.695,46.29,92.8431,26.435,277.9979
50,66.36,55.795,69.63,54.915,54.76,110.5447,75.71,46.25,92.705,26.49,277.95
51,66.45,56.03,69.84,55.045,54.81,110.75,75.875,46.33,92.88,26.52,278.53
52,66.32,56.04,69.63,54.82,54.64,110.5,75.65,46.22,92.64,26.48,277.85
53,66.34,56.005,69.88,55.26,54.58,110.81,75.74,46.35,92.28,26.44,278.02
54,66.63,56.07,69.89,55.58,54.455,110.77,75.7,46.32,92.3,26.485,278.11
55,66.68,56.08,69.9,55.5373,54.3833,110.77,75.8,46.29,92.445,26.485,278.19
56,66.63,56.31,69.46,55.6099,54.45,110.44,75.7,46.02,92.26,26.5,277.62
57,66.71,56.31,69.69,55.88,54.64,110.71,75.99,46.03,92.59,26.6,278.43
58,65.99,56.59,69.56,55.6,54.54,110.36,75.73,45.6,91.75,26.49,277.17
59,65.56,56.7,69.75,55.54,54.68,110.5,75.72,45.63,91.71,26.51,277.46
60,65.96,56.8751,70.43,55.715,54.32,110.84,75.84,45.88,92.19,26.45,278.47
61,65.585,56.93,70.39,55.65,54.33,110.73,75.95,45.83,92.3,26.42,278.415
62,65.6,57.025,70.52,55.8,54.33,110.9,76.0,45.94,92.39,26.4269,278.7367
63,65.87,56.67,70.99,56.15,54.13,110.73,76.52,46.12,92.67,26.56,279.57
64,65.9,56.53,71.07,55.94,54.27,110.52,76.47,46.05,92.45,26.45,279.275
65,65.98,56.725,71.185,55.985,54.27,110.87,76.57,46.28,92.6,26.56,279.95
66,65.66,56.61,71.13,55.81,54.16,110.89,76.3,46.12,92.36,26.5,279.34
67,65.82,56.59,70.73,55.59,54.035,110.65,76.24,45.85,92.19,26.58,278.75
68,65.46,56.4667,70.99,55.4,54.13,110.08,76.57,45.96,92.21,26.63,279.1
69,64.93,56.87,70.77,55.03,54.325,110.08,76.41,45.93,92.092,26.565,278.71
